uid;abstract_id;conference_acronym;conference_place;creators_json;creator_names;creators_amount;creators_group_type;creators_group_publication;groups_with_female;creators_with_female_YN;creators_with_female_amount;creators_with_male_amount;creators_group_interdisciplinary;title;format_type
20027;27;DHd 2020;Paderborn;[{'affiliation': 'Universität Stuttgart, Deutschland', 'name': 'Bernhart, Toni'}];Bernhart, Toni;1;Single;Single_Vortrag;Single_WAHR;WAHR;1;0;Single_NICHT;"'""As a Hobby at First' Künstlerische Produktion als Modellierung""";Vortrag
20028;28;DHd 2020;Paderborn;[{'affiliation': 'Higher School of Economics, Moskau, Russland', 'name': 'Fischer, Frank'}, {'affiliation': 'Universität Potsdam', 'name': 'Busch, Anna'}, {'affiliation': 'WU Wien', 'name': 'Hechtl, Angelika'}, {'affiliation': 'Universität Potsdam', 'name': 'Trilcke, Peer'}, {'affiliation': 'Hamburg', 'name': 'Vogel, Andreas'}];"Fischer, Frank;Busch, Anna;Hechtl, Angelika;Trilcke, Peer;Vogel, Andreas";5;Kleingruppe;Kleingruppe_Poster;Kleingruppe_WAHR;WAHR;2;3;Kleingruppe_INTER;Besuch im »Marstheater« – Eine Netzwerkmodellierung von Karl Kraus' Riesendrama »Die letzten Tage der Menschheit«;Poster
20029;29;DHd 2020;Paderborn;[{'affiliation': 'Universität Hamburg, Deutschland', 'name': 'Ihden, Sarah'}];Ihden, Sarah;1;Single;Single_Vortrag;Single_WAHR;WAHR;1;0;Single_NICHT;Varianz, Ambiguität, Unsicherheit. Methodische Schlaglichter zur mittelniederdeutschen Grammatikographie;Vortrag
20030;30;DHd 2020;Paderborn;[{'affiliation': 'Universität Hamburg, Deutschland', 'name': 'Horstmann, Jan'}, {'affiliation': 'Universität Hamburg, Deutschland', 'name': 'Jacke, Janina'}];"Horstmann, Jan;Jacke, Janina";2;Duo;Duo_Vortrag;Duo_WAHR;WAHR;1;1;Duo_NICHT;Interpretationsspielräume. Undogmatisches Annotieren literarischer Texte in CATMA 6;Vortrag
20031;31;DHd 2020;Paderborn;[{'affiliation': 'ETH Zürich, Schweiz', 'name': 'Roller, Ramona'}, {'affiliation': 'ETH Zürich, Schweiz', 'name': 'Schweitzer, Frank'}];"Roller, Ramona;Schweitzer, Frank";2;Duo;Duo_Vortrag;Duo_WAHR;WAHR;1;1;Duo_NICHT;Welche Beziehungen steuern das Briefkorrespondenznetzwerk der Reformatoren? Eine Netzwerkanalyse;Vortrag
20032;32;DHd 2020;Paderborn;[{'affiliation': 'Bergische Universität Wuppertal, Deutschland', 'name': 'Sulzbacher, Ben'}, {'affiliation': 'Ludwig-Maximilians-Universität München, Deutschland', 'name': 'Molz, Johannes'}, {'affiliation': 'Universität Stuttgart, Deutschland', 'name': 'Pichler, Axel'}];"Sulzbacher, Ben;Molz, Johannes;Pichler, Axel";3;Kleingruppe;Kleingruppe_Panel;Kleingruppe_FALSCH;FALSCH;0;3;Kleingruppe_INTER;Intertextualität in literarischen Texten und darüber hinaus;Panel
20033;33;DHd 2020;Paderborn;[{'affiliation': 'Universität Würzburg, Deutschland', 'name': 'Du, Keli'}];Du, Keli;1;Single;Single_Vortrag;Single_WAHR;WAHR;1;0;Single_NICHT;Der Spielraum zwischen 'zu wenig' und 'zu viel';Vortrag
20034;34;DHd 2020;Paderborn;[{'affiliation': 'FAU Erlangen-Nürnberg, Informatik, Deutschland Bibliotheca Hertziana, Rom, Italien', 'name': 'Görz, Günther'}, {'affiliation': 'FAU Erlangen-Nürnberg, Informatik, Deutschland Bibliotheca Hertziana, Rom, Italien', 'name': 'Seidl, Chiara'}, {'affiliation': 'TU Berlin, Deutschland Bibliotheca Hertziana, Rom, Italien', 'name': 'Thiering, Martin'}];"Görz, Günther;Seidl, Chiara;Thiering, Martin";3;Kleingruppe;Kleingruppe_Poster;Kleingruppe_WAHR;WAHR;1;2;Kleingruppe_INTER;A Linked Open Data Platform for Historical Geographic Data;Poster
20035;35;DHd 2020;Paderborn;[{'affiliation': 'Fachhochschule Potsdam, Deutschland', 'name': 'Wuttke, Ulrike'}];Wuttke, Ulrike;1;Single;Single_Vortrag;Single_WAHR;WAHR;1;0;Single_NICHT;Wege bereiten, vermitteln und Denkräume schaffen! Digital Humanities als community-induziertes Phänomen;Vortrag
20036;36;DHd 2020;Paderborn;[{'affiliation': 'Universität Stuttgart, Deutschland', 'name': 'Wiedmer, Nathalie'}, {'affiliation': 'Universität Stuttgart, Deutschland', 'name': 'Pagel, Janis'}, {'affiliation': 'Universität Stuttgart, Deutschland Universität Köln, Deutschland', 'name': 'Reiter, Nils'}];"Wiedmer, Nathalie;Pagel, Janis;Reiter, Nils";3;Kleingruppe;Kleingruppe_Vortrag;Kleingruppe_WAHR;WAHR;2;1;Kleingruppe_INTER;Romeo, Freund des Mercutio: Semi-Automatische Extraktion von Beziehungen zwischen dramatischen Figuren;Vortrag
