idno,filename,type,year
dh0937,posters-070.xml,Poster,2016
dh0938,posters-071.xml,Poster,2016
dh0939,posters-072.xml,Poster,2016
dh0940,posters-073.xml,Poster,2016
dh0941,posters-074.xml,Poster,2016
dh0942,posters-075.xml,Poster,2016
dh0943,posters-076.xml,Poster,2016
dh0944,posters-077.xml,Poster,2016
dh0945,posters-078.xml,Poster,2016
dh0946,posters-079.xml,Poster,2016
dh0947,posters-1.xml,Poster,2016
dh0948,posters-66.xml,Poster,2016
dh0949,POURTSKHVANIDZE_Zakharia_Visualisierung_von_Informationsgliederungen.txt,Poster,2015
dh0950,PROISL_Thomas_Delta_vs__N_Gram_Tracing__Wie_robust_ist_die_A.xml,Poster,2018
dh0951,R_DIGER_Jan_Oliver_OWIDplusLIVE___Tagesaktuelle_N_Gramm_Anal.xml,Poster,2023
dh0952,RADECKE_Gabriele_Theodor_Fontanes_Notizbücher_Konzept_und_Beispiele_der_genetisch_kritischen_und_kommentierten_Hybrid_Edition.txt,unbekannt,2014
dh0953,RADISCH_Erik_Buddhist_Murals_of_Kucha_on_the_Northern_Silk_R.xml,Poster,2023
dh0954,RADISCH_Erik_Contextualizing_Bandera__Ein_Distant_Watching_A.xml,Vortrag,2018
dh0955,RASTINGER_Nina_C__Listen_in_historischen_Zeitungen__Herausfo.xml,DoctoralConsortium,2023
dh0956,RAU_Felix_Audio_Mining_für_die_Geistes__und_Kulturwissenscha.xml,Workshop,2018
dh0957,RAUNIG_Michael_Digitale_Methoden_sind_weder_digital_noch_inn.xml,Vortrag,2018
dh0958,REBORA_Simone_The_Tiroler_Soldaten_Zeitung_and_its_.xml,Vortrag,2018
dh0959,REITER_Nils_Computerlinguistische_Verfahren_zur_Aufdeckung_struktureller_hnlichkeiten_in_Narrativen.txt,Poster,2015
dh0960,REITER_Nils_Maschinelles_Lernen_lernen__Ein_CRETA_Hackatoria.xml,Workshop,2018
dh0961,REITER_Nils_SANTA__Systematische_Analyse_Narrativer_Texte_du.xml,Vortrag,2018
dh0962,RENSINGHOFF_Berenike_3D__und_4D_Modellierung_in_den_Digital_.xml,Workshop,2023
dh0963,RESCH_Claudia_Historische_Zeitungen_kollaborativ_erschließen.xml,Vortrag,2018
dh0964,REUL_Christian_Synoptische_Interfaces_Digitaler_Editionen.xml,Vortrag,2023
dh0965,RIEPL_Christian_Was_ich_nicht_weiß_macht_mich_heiß_Zum_Mehrwert_der_Anwendung_informatischer_Methoden.txt,unbekannt,2014
dh0966,RIPPERGER_Hannah_Virtuelle_Rekonstruktion_des_Regensburger_Ballhauses.txt,Poster,2015
dh0967,ROEDER_Torsten_Greening_DH__individuelle_Handlungsspielr_ume.xml,Workshop,2023
dh0968,ROEDER_Torsten_Horizontales_Lesen__Das__Verdi_Requiem__und_d.xml,Vortrag,2018
dh0969,ROLSHOVEN_Jürgen_Strings_Structures.xml,Poster,2018
dh0970,ROSENTHAL_Maximilian_Musikgeschichte_im_distant_reading__Pr_.xml,Vortrag,2023
dh0971,RÜDIGER_Jan_Oliver_CorpusExplorer_v2_0___Seminartauglich_in_.xml,Workshop,2018
dh0972,RUIZ_FABO_Pablo_DISCO__Diachronic_Spanish_Sonnet_Corpus.xml,Poster,2018
dh0973,SAHLE_Patrick_DH_Gibts_doch_gar_nicht_Integration_oder_Desintegration_der_Digital_Humanities.txt,unbekannt,2014
dh0974,SATJUKOW_Silke_Erinnerungskulturen_im_World_Wide_Web_digitale_Werkzeuge_zur_Suche.txt,unbekannt,2014
dh0975,SCHASSAN_Torsten__Im_Netz_der_Möglichkeiten___Wechselwirkung.xml,Vortrag,2018
dh0976,SCHELBERT_Georg_Imagelab_Digitale_Bildwerkzeuge_in_Forschung_und_Lehre.txt,unbekannt,2014
dh0977,SCHELBERT_Georg_Sammlungsdaten_mit_Wikidata_anreichern_und_f.xml,Vortrag,2023
dh0978,SCHENK_Nicolas_Vom_Heben_verborgener_Sch_tze___Literarische_.xml,Vortrag,2023
dh0979,SCHEUERMANN_Leif_ICEAGE_Von_der_Anwendungsinsel _zum_digitalen_Marktplatz_und_Hörsaal.txt,unbekannt,2014
dh0980,SCHILZ_Andrea_Exakt_Historisch_im_Digitalen__Versu.xml,Vortrag,2018
dh0981,SCHIRMER_Miriam_Mixed_Methods_in_der_Genozidforschung.xml,DoctoralConsortium,2023
dh0982,SCHLESINGER_Claus_Michael_Die_Max_Bense_Collection__Digitale.xml,Poster,2018
dh0983,SCHLÖGL_Matthias_Biographik_in_den_Digital_Humanities___Krit.xml,Poster,2018
dh0984,SCHLUPKOTHEN_Frederik_Zwischen_Polysemie_und_Formalisierung_.xml,Vortrag,2018
dh0985,SCHMIDT_Thomas__Kann_man_denn_auch_nicht_lachend_sehr_ernsth.xml,Vortrag,2018
dh0986,SCHNEIDER_Philipp_Knowledge_Graph_Design_in_der_Forschungspr.xml,Vortrag,2023
